4O24,2013,Her,Spike Jonze,126,"['Joaquin Phoenix', 'Scarlett Johansson', 'Amy Adams', 'Rooney Mara', 'Chris Pratt', 'Olivia Wilde', 'Matt Letscher', 'Portia Doubleday', 'Spike Jonze', 'Bill Hader', 'Kristen Wiig', 'Artt Butler', 'SoKo', 'Brian Cox', 'Luka Jones', 'Sam Jaeger', 'Pramod Kumar', 'Evelyn Edwards', 'Lil Buck', 'Lynn Adrianna', 'Lisa Renee Pitts', 'Gabe Gomez', 'May Lindstrom', 'David Azar', 'Guy Lewis', 'Melanie Seacat', 'Steve Zissis', 'Dane White', 'Nicole Grother', 'Show All…', 'James Ozasky', 'Samantha Sarakanti', 'Gracie Prewitt', 'Claudia Choi', 'Laura Kai Chen', 'Wendy Leon', 'Samantha Morton', 'Alia Janine']"
hJAw,2019,Marriage Story,Noah Baumbach,137,"['Adam Driver', 'Scarlett Johansson', 'Laura Dern', 'Alan Alda', 'Ray Liotta', 'Julie Hagerty', 'Merritt Wever', 'Azhy Robertson', 'Wallace Shawn', 'Martha Kelly', ""Mark O'Brien"", 'Julia Greer', 'Matthew Maher', 'Eric Berryman', 'Mickey Sumner', 'Jasmine Cephas Jones', 'Gideon Glick', 'Motell Gyn Foster', 'David Turner', 'Raymond J. Lee', 'Mary Wiseman', 'Pete Simpson', 'Irene Choi', 'Matthew Shear', 'Becca Blackwell', 'Brooke Bloom', 'Hannah Dunne', 'McKinley Belcher III', 'Roslyn Ruff', 'Show All…', 'Santiago Mallan', 'Robert Smigel', 'Amanda Rovner', 'Carlos Jacott', 'Sarah Jones', 'Dean Wareham', 'Bashir Salahuddin', 'Vinny Chhibber', 'Ayden Mayeri', 'Erin Evans', 'Lucas Neff', 'Annie Hamilton', 'Tunde Adebimpe', 'Jordyn Curet', 'Justin Claiborne', 'Kyle Bornheimer', 'Pilar Holland', 'Emily Cass McDonnell', 'Andrew Steven Hernandez', 'Amir Talai', 'Juan Alfonso', 'Connie Marie Flores', 'Jeremy Barber', 'Rich Fulcher', 'Mary Hollis Inboden', 'Peter Oliver', 'Bill Blair']"
iEBG,2019,Jojo Rabbit,Taika Waititi,108,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson', 'Taika Waititi', 'Sam Rockwell', 'Rebel Wilson', 'Alfie Allen', 'Stephen Merchant', 'Archie Yates', 'Luke Brandon Field', 'Joe Weintraub', 'Brian Caspe', 'James McVan', 'Judith Georgi', 'Victoria Hogan', 'Bethany Adams', 'Iva Šindelková', 'Matej Seifert', 'Trish Osmond', 'Odeta Cali', 'Samuel Bogner', 'Robert East', 'Curtis Matthew', 'Hardy Griffin Davis', 'Christian Howlings', 'Billy Rayner', 'Gabriel Andrews', 'Stanislav Callas', 'Sam Haygarth', 'Show All…', 'Issy Stewart', 'Gilby Griffin Davis', 'Adolf Hitler']"
1xFW,2012,The Avengers,Joss Whedon,143,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Samuel L. Jackson', 'Cobie Smulders', 'Clark Gregg', 'Stellan Skarsg�rd', 'Gwyneth Paltrow', 'Paul Bettany', 'Alexis Denisof', 'Tina Benko', 'Jerzy Skolimowski', 'Kirill Nikiforov', 'Jeff Wolfe', ""M'laah Kaur Singh"", 'Rashmi Rustagi', 'Powers Boothe', 'Jenny Agutter', 'Arthur Darbinyan', 'Donald Li', 'Warren Kole', 'Alicia Sixtos', 'Maximiliano Hern�ndez', 'Dieter Riesle', 'Kenneth Tigar', 'Show All�', 'Walter Perez', 'Harry Dean Stanton', 'Josh Cowdery', 'Ashley Johnson', 'Katsumi Komatsu', 'Yumiko Komatsu', 'Robert Clohessy', 'Enver Gjokaj', 'Fernanda Toker', 'Andrea Vecchio', 'Robin Swoboda', 'Brent McGee', 'Jamie McShane', 'Michael Zhang', 'William-Christopher Stephens', 'Kelley Robins Hicks', 'Romy Rosemont', 'James Eckhouse', 'Thomas Roberts', 'Pat Kiernan', 'Damion Poitier', 'Lou Ferrigno', 'Jesse Garcia', 'Momoko Komatsu', 'Jillian Morgese', 'Catherine Anderson', 'Ricardo Andres', 'Logan Bennett', 'Mayank Bhatter', 'Sharita Bone', 'Jason Botsford', 'Mary Kate Campbell', 'Gene N. Chavez', 'Layla Cushman', 'Robert Dean', 'Rick Dremann', 'Rod Fielder', 'Eric Frank', 'Israel Hall', 'Carmen Dee Harris', 'Alexander Christopher Jones', 'Mike Karban', 'Demoine Kinney', 'Andrew Knode', 'Annette Lawless', 'Kimberly J. Mahoney', 'Todd Manes', 'Jorge Mardel', 'Tiffany Sander McKenzie', 'Michael McMillan', 'Sean Meehan', 'Holly Neelie', 'Caleb Daniel Noal', 'Jeremy Orr', 'Nate Paige', 'Martin Palmer', 'Maria Perossa', 'Caleb Pieplow', 'Alexander Daniel Pimentel', 'Frank Powers', 'Jaime Powers', 'Brent Reichert', 'Kelly Ruble', 'Gina Sarno', 'Robert B. Schneider IV', 'Jeff Seich', 'Christina Shaffer', 'Douglas Slygh', 'Colin Strause', 'Robert P. Thitoff', 'George Thomas', 'Shane Thompson', 'Jerry Lee Tucker', 'Tai Urban', 'Chris Vaina', 'Sandra Weston', 'Seth Zielicke', 'Alex DeCourville', 'Andrea-Nichole Olivas', 'Tina Grimm', 'Evan Kole', 'Hank Amos', 'Ryan Cordaro']"
1WZM,2010,Iron Man 2,Jon Favreau,124,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson', 'Clark Gregg', 'John Slattery', 'Garry Shandling', 'Paul Bettany', 'Leslie Bibb', 'Kate Mara', 'Jon Favreau', 'Christiane Amanpour', 'Philippe Bergeron', 'James Bethea', 'Michael Bruno', 'Kate Clark', 'Luminita Docan', 'Fran�ois Duhamel', 'Larry Ellison', 'Adam Goldstein', 'Tim Guinee', 'Eric L. Haney', 'Ali Khan', 'Evgeniy Lazarev', 'Isaiah Guyman Martin IV', 'Show All�', 'Helena Mattsson', 'Anya Monzikova', 'Keith Middlebrook', 'Margy Moore', 'Olivia Munn', 'Elon Musk', ""Bill O'Reilly"", 'Alejandro Pati�o', 'Davin Ransom', 'Karim Saleh', 'Brian Schaeffer', 'Phillipe Simon', 'Jack White', 'Jenny Robinson', 'Melanie Brown', 'Krystal Ellsworth', 'Victoria Gracie', 'Gina Cantrell', 'Renee Herlocker', 'Jill Ann Pineda-Arnold', 'Sandy Colton', 'Annika Ihnat', 'Lindsay Dennis', 'Jennifer D. Johnson', 'Lindsay Rosenberg', 'Hannah Douglass', 'Brooke Long', 'Rachele Brooke Smith', 'Kylette Zamora', 'Nadine Ellis', 'Ayelet Ben-Shahar', 'John Ceallach', 'Katie Cleary', 'Ajarae Coleman', 'Rick L. Dean', ""Timothy 'TJ' James Driscoll"", 'Jasmine Dustin', 'Sam Felman', 'Shakira Vanise Gamble', 'Paul Grace', 'Mark Kubr', 'Cameron Lee', 'Jee-Yun Lee', 'Waymond Lee', 'Mathew Lorenceau', 'Christopher Maleki', 'Bryan McCoy', 'Ed Moy', 'Tony Nevada', 'Allison Ochmanek', 'Nicolas Pajon', 'Steven James Price', 'Tanoai Reed', 'Peter Trenholm Smith', 'Doug Swander', 'Peter Sebastian Wrobel', 'Nick W. Nicholson', 'Kristin Quick', 'Matt McColm', 'Seth Green']"
hTha,2019,Parasite,Bong Joon-ho,133,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-shik', 'Park So-dam', 'Lee Jung-eun', 'Jang Hye-jin', 'Park Myung-hoon', 'Jung Ji-so', 'Jung Hyeon-jun', 'Park Keun-rok', 'Jung Yi-seo', 'Cho Jae-myung', 'Jeong Ik-han', 'Kim Gyu-baek', 'Ahn Seong-bong', 'Yoon Young-woo', 'Park Jae-wook', 'Lee Dong-yong', 'Jeon Eun-mi', 'Kim Geon', 'Lee Joo-hyung', 'Lee Ji-hye', 'Kim Bo-ryeong', 'Park Hye-sook', 'Baek Seung-hwan', 'Riccardo Ferraresso', 'Ko Kwan-jae', 'Lee Si-hoon', 'Show All�', 'Seo Bok-hyeon', 'Shim Soo-mi', 'Yoon Hye-ree', 'Andreas Fronk', 'Anna Elisabeth Rihlmann', 'Rosie Peralta', 'Shin Seung-min', 'Park Seo-jun', 'Kwak Sin-ae', 'Kim Yeong-jo', 'Choi Jeong-hyun']"
leq4,2020,Tenet,Christopher Nolan,150,"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Kenneth Branagh', 'Dimple Kapadia', 'Himesh Patel', 'Aaron Taylor-Johnson', 'Michael Caine', 'Cl�mence Po�sy', 'Martin Donovan', 'Andrew Howard', 'Yuri Kolokolnikov', 'Mark Krenik', 'Anthony Molinari', 'Rich Ceraulo Ko', 'Denzil Smith', 'Jonathan Camp', 'Julia-Maria Arnolds', 'Laurie Shepherd', 'Wes Chatham', 'Fiona Dourif', 'Kenneth Wolf Andersen Haugen', 'Marcel Sabat', 'Marek Angelstok', 'Klaus Peeter R��tli', 'Daniel Olesk', 'Bern Colla�o', 'Ingrid Margus', 'Carina Velva', 'Show All�', 'Glenn Lawrence', 'Katie McCabe', 'Ronald Pelin', 'Schezaad Ausman', 'Anterro Ahonen', 'Aleksei Podlesnov', 'Lisa Marie', 'Trent Buxton', 'Jess Weber', 'Jeremy Theobald', 'Jefferson Hall', 'Tom Nolan', 'Adam Cropper', 'Josh Stewart', 'Juhan Ulfsak', 'Jan Uusp�ld', 'Tony Christian', 'Jack Cutmore-Scott', 'Kaspar Velberg', 'Sergo Vares', 'Rain Tolk', 'Henrik Kalmet', 'Sean Avery', 'John Orantes', 'Seb Carrington', 'Matthew Marsden', 'Ivo Uukkivi', 'Sander Rebane', 'Loora-Eliise Kaarelson', 'Martin T�numaa', 'Andres Oja']"
9vEe,2018,Avengers: Infinity War,Anthony Russo,149,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Don Cheadle', 'Zoe Saldaña', 'Karen Gillan', 'Elizabeth Olsen', 'Paul Bettany', 'Anthony Mackie', 'Sebastian Stan', 'Tom Hiddleston', 'Idris Elba', 'Danai Gurira', 'Peter Dinklage', 'Benedict Wong', 'Pom Klementieff', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Gwyneth Paltrow', 'Benicio del Toro', 'Josh Brolin', 'Chris Pratt', 'Sean Gunn', 'Show All…', 'William Hurt', 'Letitia Wright', 'Terry Notary', 'Tom Vaughan-Lawlor', 'Carrie Coon', 'Michael James Shaw', 'Winston Duke', 'Florence Kasumba', 'Kerry Condon', 'Monique Ganderton', 'Jacob Batalon', 'Tiffany Espensen', 'Isabella Amara', 'Ethan Dizon', 'Ariana Greenblatt', 'Ameenah Kaplan', 'Ross Marquand', 'Michael Anthony Rogers', 'Stephen McFeely', 'Aaron Lazar', 'Robert Pralgo', 'Olaniyan Thurmon', 'Blair Jasin', 'Matthew Zuk', 'Laura Miller', 'Kenneth Branagh', 'Samuel L. Jackson', 'Cobie Smulders', 'Harrison Osterfield', 'Gary Peebles', 'Marija Abney', 'Zola Williams', 'Marie Mouroum', 'James Siderits', 'Precious Jenkins']"
jWEA,2019,Knives Out,Rian Johnson,131,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon', 'Don Johnson', 'Toni Collette', 'Lakeith Stanfield', 'Christopher Plummer', 'Katherine Langford', 'Jaeden Martell', 'Riki Lindhome', 'Edi Patterson', 'Frank Oz', 'K Callan', 'Noah Segan', 'M. Emmet Walsh', 'Marlene Forte', 'Ra�l Castillo', 'Shyrley Rodriguez', 'Kerry Frances', 'Gary Tanguay', 'Octavia Chavez-Richmond', 'Joseph Gordon-Levitt', 'Paul Bellefeuille', 'Ben Bunnag', 'Michael Burnell', 'Frankie Francois', 'Marcela Jaramillo', 'Show All�', 'Gabrielle Lorthe', 'Rob L�vesque', 'Paul Tawczynski']"
h4cS,2019,Joker,Todd Phillips,122,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy', 'Brett Cullen', 'Shea Whigham', 'Bill Camp', 'Glenn Fleshler', 'Leigh Gill', 'Josh Pais', 'Rocco Luna', 'Marc Maron', 'Sondra James', 'Murphy Guyer', 'Douglas Hodge', 'Dante Pereira-Olson', 'Carrie Louise Putrello', 'Sharon Washington', 'Hannah Gross', 'Frank Wood', 'Brian Tyree Henry', 'April Grace', 'Mick Szal', 'Carl Lundstedt', 'Michael Benz', 'Ben Warheit', 'Gary Gulman', 'Sam Morril', 'Chris Redd', 'Show All�', 'Mandela Bellamy', 'Demetrius Dotson II', 'Greer Barnes', 'Ray Iannicelli', 'Bryan Callen', 'Peter Hans Benson', 'Vito Gerbino', 'Adam Quezada', 'Xavyer Ure�a', 'Evan Rosado', 'Damian Emmanuel', 'Mike Troll', 'Jane Fergus', 'David Gibson', 'Tony D. Head', 'Jeff McCarthy', 'Kim Brockington', 'Troy Roberts', 'Lou Young', 'Michael-Scott Druckenmiller', 'Craig Austin', 'John Cenatiempo', 'Danny Schoch', 'Keith Buterbaugh', 'James Ciccone', 'Rich Campbell', 'Roger Squitero', 'Steven Elson', 'Graham Mabry', 'John Alldred', 'Alonzo Wright', 'Jack Wilkins', 'Richard Baratta', 'Mary Kate Malat', 'Adrienne Lovette', 'Justin Theroux', 'Alissa Bourne', 'Jamaal Burcher', 'Dj Nino Carta', 'John Cashin', 'Jason John Cicalese', 'Brendan Patrick Connor', 'Blaise Corrigan', 'Dennis Jay Funny', 'Matthias Sebastiun Garry', 'James P. Harkins', 'Joseph Hernandez', 'Ben Heyman', 'Graham Maby', 'Jolie Chan', 'Jesse Schratz', 'Isabella Ferreira']"
