uri,Year,Name,Director,Runtime,Cast,Poster,Countries,Languages,Genres,Watches
hTha,2019,Parasite,Bong Joon-ho,133,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-shik', 'Park So-dam', 'Lee Jung-eun', 'Jang Hye-jin', 'Park Myung-hoon', 'Jung Ji-so', 'Jung Hyeon-jun', 'Park Keun-rok', 'Jung Yi-seo', 'Cho Jae-myung', 'Jeong Ik-han', 'Kim Gyu-baek', 'Ahn Seong-bong', 'Yoon Young-woo', 'Park Jae-wook', 'Lee Dong-yong', 'Jeon Eun-mi', 'Kim Geon', 'Lee Joo-hyung', 'Lee Ji-hye', 'Kim Bo-ryeong', 'Park Hye-sook', 'Baek Seung-hwan', 'Riccardo Ferraresso', 'Ko Kwan-jae', 'Lee Si-hoon']",,['South Korea'],"['Korean', 'English', 'German']","['comedy', 'drama', 'thriller']",[]
leq4,2020,Tenet,Christopher Nolan,150,"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Kenneth Branagh', 'Dimple Kapadia', 'Himesh Patel', 'Aaron Taylor-Johnson', 'Michael Caine', 'Clémence Poésy', 'Martin Donovan', 'Andrew Howard', 'Yuri Kolokolnikov', 'Mark Krenik', 'Anthony Molinari', 'Rich Ceraulo Ko', 'Denzil Smith', 'Jonathan Camp', 'Julia-Maria Arnolds', 'Laurie Shepherd', 'Wes Chatham', 'Fiona Dourif', 'Kenneth Wolf Andersen Haugen', 'Marcel Sabat', 'Marek Angelstok', 'Klaus Peeter Rüütli', 'Daniel Olesk', 'Bern Collaço', 'Ingrid Margus', 'Carina Velva']",,"['UK', 'USA']",['English'],"['science-fiction', 'action', 'thriller']","[datetime.datetime(2021, 4, 29, 0, 0)]"
jWEA,2019,Knives Out,Rian Johnson,131,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon', 'Don Johnson', 'Toni Collette', 'Lakeith Stanfield', 'Christopher Plummer', 'Katherine Langford', 'Jaeden Martell', 'Riki Lindhome', 'Edi Patterson', 'Frank Oz', 'K Callan', 'Noah Segan', 'M. Emmet Walsh', 'Marlene Forte', 'Raúl Castillo', 'Shyrley Rodriguez', 'Kerry Frances', 'Gary Tanguay', 'Octavia Chavez-Richmond', 'Joseph Gordon-Levitt', 'Paul Bellefeuille', 'Ben Bunnag', 'Michael Burnell', 'Frankie Francois', 'Marcela Jaramillo']",,['USA'],"['English', 'Spanish']","['comedy', 'mystery', 'crime']",[]
h4cS,2019,Joker,Todd Phillips,122,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy', 'Brett Cullen', 'Shea Whigham', 'Bill Camp', 'Glenn Fleshler', 'Leigh Gill', 'Josh Pais', 'Rocco Luna', 'Marc Maron', 'Sondra James', 'Murphy Guyer', 'Douglas Hodge', 'Dante Pereira-Olson', 'Carrie Louise Putrello', 'Sharon Washington', 'Hannah Gross', 'Frank Wood', 'Brian Tyree Henry', 'April Grace', 'Mick Szal', 'Carl Lundstedt', 'Michael Benz', 'Ben Warheit', 'Gary Gulman', 'Sam Morril', 'Chris Redd']",,"['Canada', 'USA']",['English'],"['crime', 'drama', 'thriller']",[]
i7Q4,2019,Sound of Metal,Darius Marder,121,"['Riz Ahmed', 'Paul Raci', 'Olivia Cooke', 'Lauren Ridloff', 'Mathieu Amalric', 'Tom Kemp', 'Chris Perfetti', 'Hillary Baack', 'Shaheem Sanchez', 'Rena Maliszewski', 'Michael Tow', 'William Xifaras', 'Jamie Ghazarian', 'David Arthur Sousa', 'Bill Thorpe', 'Marisa Defranco', 'Jeremy Lee Stone', 'Alex Kilgore', 'Dani Miller', 'Sean Powell', 'Alan Resnic', ""Thomas O'Brien Vallor"", 'Chelsea Lee', 'Domenico Toledo', 'Elan Sicroff', 'Ezra Marder', 'Hartmut Teuber', 'Joe Toledo', 'Jonathon LeJeune']",,['USA'],"['English', 'French']","['drama', 'music']","[datetime.datetime(2021, 4, 24, 0, 0)]"
2b0k,2008,The Dark Knight,Christopher Nolan,152,"['Christian Bale', 'Heath Ledger', 'Michael Caine', 'Gary Oldman', 'Aaron Eckhart', 'Maggie Gyllenhaal', 'Morgan Freeman', 'Nestor Carbonell', 'Monique Gabriela Curnen', 'Ron Dean', 'Chin Han', 'Eric Roberts', 'Ritchie Coster', 'Anthony Michael Hall', 'Keith Szarabajka', 'Joshua Harto', 'Melinda McGraw', 'Nathan Gamble', 'Michael Jai White', 'Colin McFarlane', 'Nydia Rodriguez Terracina', ""Tom 'Tiny' Lister Jr."", 'William Fichtner', 'Cillian Murphy', 'Patrick Leahy', 'Matt Skiba', 'David Dastmalchian', 'Michael Vieau', 'Michael Stoyanov']",,"['UK', 'USA']","['English', 'Chinese']","['action', 'thriller', 'drama', 'crime']",[]
H3m,2012,The Dark Knight Rises,Christopher Nolan,165,"['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman', 'Matthew Modine', 'Juno Temple', 'Ben Mendelsohn', 'Burn Gorman', 'Daniel Sunjata', 'Cillian Murphy', 'Alon Aboutboul', 'Liam Neeson', 'Nestor Carbonell', 'Josh Stewart', 'Aidan Gillen', 'Tom Conti', 'Joey King', 'Josh Pence', 'John Nolan', 'Warren Brown', 'Sam Kennard', 'Aliash Tepina', 'Nick Julian', 'Miranda Nolan', 'Claire Julien']",,['USA'],['English'],"['drama', 'crime', 'action', 'thriller']",[]
2aIg,2005,Batman Begins,Christopher Nolan,140,"['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman', 'Cillian Murphy', 'Tom Wilkinson', 'Rutger Hauer', 'Ken Watanabe', 'Morgan Freeman', 'Gus Lewis', 'Emma Lockhart', 'Mark Boone Junior', 'Linus Roache', 'Larry Holden', 'Colin McFarlane', 'Christine Adams', 'Vincent Wong', 'Sara Stewart', 'Richard Brake', 'Gerard Murphy', 'Charles Edwards', 'Tim Booth', 'Rade Šerbedžija', 'Risteard Cooper', 'Andrew Pleavin', 'Jo Martin', 'Shane Rimmer', 'Jeremy Theobald']",,"['UK', 'USA']","['English', 'Urdu', 'Chinese']","['drama', 'crime', 'action']",[]
4VZ8,2014,Interstellar,Christopher Nolan,169,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Ellen Burstyn', 'John Lithgow', 'Michael Caine', 'Casey Affleck', 'Wes Bentley', 'Bill Irwin', 'Mackenzie Foy', 'Topher Grace', 'David Gyasi', 'Timothée Chalamet', 'Matt Damon', 'David Oyelowo', 'William Devane', 'Josh Stewart', 'Collette Wolfe', 'Leah Cairns', 'Russ Fega', 'Lena Georgas', 'Jeff Hephner', 'Elyes Gabel', 'Brooke Smith', 'Liam Dickinson', 'Francis X. McCarthy', 'Andrew Borba', 'Flora Nolan', 'William Patrick Brown']",,"['UK', 'USA']",['English'],"['science-fiction', 'drama', 'adventure']",[]
d0Y6,2017,Dunkirk,Christopher Nolan,107,"['Fionn Whitehead', 'Tom Hardy', 'Mark Rylance', 'Kenneth Branagh', 'Cillian Murphy', 'Barry Keoghan', 'Harry Styles', 'Aneurin Barnard', 'Damien Bonnard', 'Lee Armstrong', 'James Bloor', 'Tom Glynn-Carney', 'Jack Lowden', 'Luke Thompson', 'Michel Biel', 'Constantin Balsan', 'Billy Howle', 'Mikey Collins', 'Callum Blake', 'Dean Ridge', 'Bobby Lockwood', 'Will Attenborough', 'Tom Nolan', ""James D'Arcy"", 'Matthew Marsh', 'Adam Long', 'Miranda Nolan', 'Bradley Hall', 'Jack Cutmore-Scott']",,"['France', 'Netherlands', 'UK', 'USA']","['English', 'French', 'German']","['war', 'drama', 'action']","[datetime.datetime(2021, 4, 29, 0, 0)]"
