Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-06-02,Wonder Woman 1984,2020,https://boxd.it/1TYh7L,3,,,2021-01-08
2021-06-02,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/1TYkgV,5,Yes,,2021-03-03
2021-06-02,The Lord of the Rings: The Two Towers,2002,https://boxd.it/1TYkwJ,5,Yes,,2021-03-04
2021-06-02,The Lord of the Rings: The Return of the King,2003,https://boxd.it/1TYkzX,5,Yes,,2021-03-05
2021-06-02,WandaVision,2021,https://boxd.it/1TYgWX,4.5,,,2021-03-12
2021-06-02,Wind River,2017,https://boxd.it/1TYiOL,4.5,,,2021-04-15
2021-06-02,The Falcon and the Winter Soldier,2021,https://boxd.it/1TYgO5,4,,,2021-04-16
2021-06-02,Sound of Metal,2019,https://boxd.it/1TYi07,5,,,2021-04-24
2021-06-02,Carol,2015,https://boxd.it/1TYj1P,5,,,2021-04-26
2021-06-02,Tenet,2020,https://boxd.it/1TYhnT,3.5,,,2021-04-29
2021-06-02,Dunkirk,2017,https://boxd.it/1TYiHl,4,,,2021-04-29
2021-06-02,Edge of Tomorrow,2014,https://boxd.it/1TYj8L,4.5,,,2021-04-30
2021-06-02,The Girl with the Dragon Tattoo,2011,https://boxd.it/1TYjop,5,,,2021-05-03
2021-06-02,The Shawshank Redemption,1994,https://boxd.it/1TYkmJ,5,,,2021-05-07
2021-06-02,The Grand Budapest Hotel,2014,https://boxd.it/1TYjbP,4.5,,,2021-05-13
2021-06-02,Baby Driver,2017,https://boxd.it/1TYiLH,3,,,2021-05-16
2021-06-02,The Queen's Gambit,2020,https://boxd.it/1TYhjx,4.5,,,2021-05-20
2021-06-02,The Social Network,2010,https://boxd.it/1TYjrN,5,,,2021-05-20
2021-06-02,Zodiac,2007,https://boxd.it/1TYjUF,5,,,2021-05-20
2021-06-02,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/1TYk4l,5,,,2021-05-21
2021-06-02,Scott Pilgrim vs. the World,2010,https://boxd.it/1TYjwX,3.5,,,2021-05-22
2021-06-02,American Hustle,2013,https://boxd.it/1TYjeT,2,,,2021-05-23
2021-06-02,Side Effects,2013,https://boxd.it/1TYjir,3.5,,,2021-05-25
2021-06-02,Arrival,2016,https://boxd.it/1TYiVd,5,,,2021-05-27
2021-06-02,Nightcrawler,2014,https://boxd.it/1TYj53,4.5,,,2021-05-27
2021-06-02,The Truman Show,1998,https://boxd.it/1TYksd,4,,,2021-05-30
2021-06-02,Shutter Island,2010,https://boxd.it/1TYjAv,5,,,2021-05-31
2021-06-02,20th Century Women,2016,https://boxd.it/1TYiRl,4,,,2021-06-01
2021-06-02,The Curious Case of Benjamin Button,2008,https://boxd.it/1TZonN,4.5,,,2021-06-02
2021-06-07,Se7en,1995,https://boxd.it/1UDXnt,4.5,,,2021-06-07
2021-06-08,Inglourious Basterds,2009,https://boxd.it/1UISy7,5,,,2021-06-08
2021-06-15,Django Unchained,2012,https://boxd.it/1VFYVz,4,,,2021-06-13
2021-06-16,Uncut Gems,2019,https://boxd.it/1VJES9,2,,,2021-06-16
2021-06-16,Annihilation,2018,https://boxd.it/1VNWZZ,3.5,,,2021-06-16
2021-06-18,Cruella,2021,https://boxd.it/1VWufx,3.5,,,2021-06-18
2021-06-19,Begin Again,2013,https://boxd.it/1W1Ptb,4.5,,,2021-06-18
2021-11-08,Earthlings,2005,https://boxd.it/2gHstV,,,,2021-06-18
2021-06-21,Roma,2018,https://boxd.it/1WlVt7,5,,,2021-06-21
2021-06-23,I'm Still Here,2010,https://boxd.it/1WGxPv,,,,2021-06-22
2021-06-23,Ingrid Goes West,2017,https://boxd.it/1WGxRr,4,,,2021-06-22
2021-06-24,"Don't Worry, He Won't Get Far on Foot",2018,https://boxd.it/1WNLLh,4,,,2021-06-24
2021-06-26,Mank,2020,https://boxd.it/1X1gJn,4,,,2021-06-26
2021-06-27,mother!,2017,https://boxd.it/1X5Amr,3,,,2021-06-27
2021-06-30,Frances Ha,2012,https://boxd.it/1XzYb3,4,,,2021-06-30
2021-07-04,American Psycho,2000,https://boxd.it/1XYrVH,4.5,,,2021-07-03
2021-07-05,The Witch,2015,https://boxd.it/1Yj7WH,3,,,2021-07-05
2021-07-07,Lady Bird,2017,https://boxd.it/1YBihV,4,,,2021-07-07
2021-07-08,Monty Python and the Holy Grail,1975,https://boxd.it/1YJcFN,4,,,2021-07-08
2021-07-10,Black Widow,2021,https://boxd.it/1YUMtP,3.5,,,2021-07-10
