Date,Name,Year,Letterboxd URI,Rating
2021-05-15,Kumbalangi Nights,2019,https://boxd.it/l8wA,5
2021-05-15,Jojo Rabbit,2019,https://boxd.it/iEBG,5
2021-05-15,Parasite,2019,https://boxd.it/hTha,5
2021-05-15,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2021-05-15,Logan,2017,https://boxd.it/7Piy,5
2021-05-15,Interstellar,2014,https://boxd.it/4VZ8,5
2021-05-15,Her,2013,https://boxd.it/4O24,5
2021-05-15,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,5
2021-05-15,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,5
2021-05-15,Inception,2010,https://boxd.it/1skk,5
2021-05-15,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,5
2021-05-15,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2021-05-15,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2021-05-15,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2021-05-15,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2021-05-16,The Matrix,1999,https://boxd.it/2a1m,4
2021-05-16,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2,3
2021-05-16,Spider-Man 2,2004,https://boxd.it/2a88,4
2021-05-16,X-Men: First Class,2011,https://boxd.it/FOA,5
2021-05-16,Godzilla,2014,https://boxd.it/47OE,3
2021-05-16,Carol,2015,https://boxd.it/7DPK,5
2021-05-16,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,4
2021-05-16,Get Out,2017,https://boxd.it/eOCm,5
2021-05-16,Bird Box,2018,https://boxd.it/eh1i,3
2021-05-16,Escape Room,2019,https://boxd.it/iYlS,3
2021-05-16,Sound of Metal,2019,https://boxd.it/i7Q4,5
2021-05-16,Little Women,2019,https://boxd.it/aSVk,5
2021-05-16,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/27Vc,2
2021-05-16,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,2
2021-05-16,Saw,2004,https://boxd.it/2aWW,4.5
2021-05-16,August Rush,2007,https://boxd.it/23kQ,2.5
2021-05-16,Lucy,2014,https://boxd.it/75hu,0.5
2021-05-17,Life of Pi,2012,https://boxd.it/37pC,4.5
2021-05-21,Zodiac,2007,https://boxd.it/27MO,5
2021-05-22,The Social Network,2010,https://boxd.it/17ue,5
2021-05-22,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2021-05-23,Arrival,2016,https://boxd.it/aNGk,5
2021-05-27,Bangalore Days,2014,https://boxd.it/82ZA,5
2021-05-27,Ustad Hotel,2012,https://boxd.it/3UNy,5
2021-05-30,Nightcrawler,2014,https://boxd.it/780m,4.5
2021-05-30,The Boy,2016,https://boxd.it/apZi,3
2021-05-31,Shutter Island,2010,https://boxd.it/1U82,5
2021-05-31,The Truman Show,1998,https://boxd.it/18U8,4
2021-06-01,20th Century Women,2016,https://boxd.it/bqU6,4
