Date,Name,Year,Letterboxd URI
2021-05-15,Parasite,2019,https://boxd.it/hTha
2021-05-15,Tenet,2020,https://boxd.it/leq4
2021-05-15,Knives Out,2019,https://boxd.it/jWEA
2021-05-15,Joker,2019,https://boxd.it/h4cS
2021-05-15,Sound of Metal,2019,https://boxd.it/i7Q4
2021-05-15,The Dark Knight,2008,https://boxd.it/2b0k
2021-05-15,The Dark Knight Rises,2012,https://boxd.it/H3m
2021-05-15,Batman Begins,2005,https://boxd.it/2aIg
2021-05-15,Interstellar,2014,https://boxd.it/4VZ8
2021-05-15,Dunkirk,2017,https://boxd.it/d0Y6
2021-05-15,The Prestige,2006,https://boxd.it/293w
2021-05-15,Inception,2010,https://boxd.it/1skk
2021-05-15,The Imitation Game,2014,https://boxd.it/6aig
2021-05-15,The Man Who Knew Infinity,2015,https://boxd.it/bTpm
2021-05-15,The Theory of Everything,2014,https://boxd.it/7YtA
2021-05-15,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO
2021-05-15,The Shawshank Redemption,1994,https://boxd.it/2aHi
2021-05-15,Iron Man,2008,https://boxd.it/28dA
2021-05-15,Iron Man 2,2010,https://boxd.it/1WZM
2021-05-15,Thor,2011,https://boxd.it/1WQU
2021-05-15,Captain America: The First Avenger,2011,https://boxd.it/28b0
2021-05-15,The Avengers,2012,https://boxd.it/1xFW
2021-05-15,Iron Man 3,2013,https://boxd.it/2cBQ
2021-05-15,Thor: The Dark World,2013,https://boxd.it/2DqA
2021-05-15,Captain America: The Winter Soldier,2014,https://boxd.it/3r58
2021-05-15,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2021-05-15,Avengers: Age of Ultron,2015,https://boxd.it/3qi6
2021-05-15,Ant-Man,2015,https://boxd.it/3vmW
2021-05-15,Captain America: Civil War,2016,https://boxd.it/89Ja
2021-05-15,Doctor Strange,2016,https://boxd.it/8MH8
2021-05-15,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2021-05-15,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2021-05-15,Thor: Ragnarok,2017,https://boxd.it/8MHi
2021-05-15,Black Panther,2018,https://boxd.it/8MHs
2021-05-15,Avengers: Infinity War,2018,https://boxd.it/9vEe
2021-05-15,Ant-Man and the Wasp,2018,https://boxd.it/cqUW
2021-05-15,Captain Marvel,2019,https://boxd.it/9vSA
2021-05-15,Avengers: Endgame,2019,https://boxd.it/9vE4
2021-05-15,Spider-Man: Far From Home,2019,https://boxd.it/fegG
2021-05-15,WandaVision,2021,https://boxd.it/sbGW
2021-05-15,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6
2021-05-15,Wonder Woman 1984,2020,https://boxd.it/gBtA
2021-05-15,Wonder Woman,2017,https://boxd.it/9roG
2021-05-15,Aquaman,2018,https://boxd.it/9ru0
2021-05-15,Logan,2017,https://boxd.it/7Piy
2021-05-15,The Wolverine,2013,https://boxd.it/2CWU
2021-05-15,X-Men: Days of Future Past,2014,https://boxd.it/4aRw
2021-05-15,X-Men: First Class,2011,https://boxd.it/FOA
2021-05-15,X2,2003,https://boxd.it/1a7i
2021-05-15,X-Men,2000,https://boxd.it/1a7s
2021-05-15,Deadpool 2,2018,https://boxd.it/dlLM
2021-05-15,X-Men: Apocalypse,2016,https://boxd.it/7eJi
2021-05-15,Deadpool,2016,https://boxd.it/9fOC
2021-05-15,X-Men: The Last Stand,2006,https://boxd.it/1a5Q
2021-05-15,Dark Phoenix,2019,https://boxd.it/anyO
2021-05-15,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2021-05-15,Forrest Gump,1994,https://boxd.it/728
2021-05-15,Get Out,2017,https://boxd.it/eOCm
2021-05-15,The Shape of Water,2017,https://boxd.it/dZ5m
2021-05-15,Bohemian Rhapsody,2018,https://boxd.it/f1TK
2021-05-15,A Star Is Born,2018,https://boxd.it/aXgc
2021-05-15,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2021-05-15,A Quiet Place,2018,https://boxd.it/fVJQ
2021-05-15,Jojo Rabbit,2019,https://boxd.it/iEBG
2021-05-15,Little Women,2019,https://boxd.it/aSVk
2021-05-15,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US
2021-05-15,The Empire Strikes Back,1980,https://boxd.it/27Vw
2021-05-15,Return of the Jedi,1983,https://boxd.it/27Vm
2021-05-15,Star Wars,1977,https://boxd.it/72s
2021-05-15,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2
2021-05-15,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2021-05-15,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/27Vc
2021-05-15,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2021-05-15,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2021-05-15,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK
2021-05-15,The Martian,2015,https://boxd.it/8SeG
2021-05-15,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU
2021-05-15,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy
2021-05-15,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu
2021-05-15,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe
2021-05-15,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS
2021-05-15,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI
2021-05-15,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk
2021-05-15,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo
2021-05-15,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC
2021-05-15,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G
2021-05-15,Gone Girl,2014,https://boxd.it/6hQu
2021-05-15,Her,2013,https://boxd.it/4O24
2021-05-15,Marriage Story,2019,https://boxd.it/hJAw
2021-05-15,Lucy,2014,https://boxd.it/75hu
2021-05-15,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2021-05-15,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2021-05-15,Spider-Man,2002,https://boxd.it/2a8i
2021-05-15,Spider-Man 2,2004,https://boxd.it/2a88
2021-05-15,The Amazing Spider-Man 2,2014,https://boxd.it/3utM
2021-05-15,Hidden Figures,2016,https://boxd.it/dgS4
2021-05-15,The Amazing Spider-Man,2012,https://boxd.it/27PI
2021-05-15,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa
2021-05-15,Wind River,2017,https://boxd.it/dR3i
2021-05-15,Split,2016,https://boxd.it/dgSy
2021-05-15,Glass,2019,https://boxd.it/g3uO
2021-05-15,Unbreakable,2000,https://boxd.it/1XV2
2021-05-15,Bird Box,2018,https://boxd.it/eh1i
2021-05-15,Don't Breathe,2016,https://boxd.it/9yzw
2021-05-15,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU
2021-05-15,Jurassic World,2015,https://boxd.it/4n0g
2021-05-15,The Matrix,1999,https://boxd.it/2a1m
2021-05-15,Avatar,2009,https://boxd.it/1Efm
2021-05-15,Independence Day,1996,https://boxd.it/2a1w
2021-05-15,August Rush,2007,https://boxd.it/23kQ
2021-05-15,The Space Between Us,2017,https://boxd.it/cF0u
2021-05-15,Saw,2004,https://boxd.it/2aWW
2021-05-15,Escape Room,2019,https://boxd.it/iYlS
2021-05-15,Gravity,2013,https://boxd.it/GZY
2021-05-15,Back to the Future,1985,https://boxd.it/2b8e
2021-05-15,Beauty and the Beast,2017,https://boxd.it/ar0c
2021-05-15,Godzilla,2014,https://boxd.it/47OE
2021-05-15,La La Land,2016,https://boxd.it/a5fa
2021-05-15,Carol,2015,https://boxd.it/7DPK
2021-05-15,A Beautiful Mind,2001,https://boxd.it/2amk
2021-05-15,V for Vendetta,2005,https://boxd.it/29Ik
2021-05-15,The Boy,2016,https://boxd.it/apZi
2021-05-15,Kumbalangi Nights,2019,https://boxd.it/l8wA
2021-05-16,Edge of Tomorrow,2014,https://boxd.it/4pD0
2021-05-17,Life of Pi,2012,https://boxd.it/37pC
2021-05-21,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2021-05-21,Zodiac,2007,https://boxd.it/27MO
2021-05-22,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2021-05-22,The Social Network,2010,https://boxd.it/17ue
2021-05-22,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2021-05-23,Arrival,2016,https://boxd.it/aNGk
2021-05-24,Baby Driver,2017,https://boxd.it/bhF2
2021-05-26,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2021-05-27,Bangalore Days,2014,https://boxd.it/82ZA
2021-05-27,Ustad Hotel,2012,https://boxd.it/3UNy
2021-05-27,The Queen's Gambit,2020,https://boxd.it/s1Ym
2021-05-28,American Hustle,2013,https://boxd.it/5dz8
2021-05-30,Side Effects,2013,https://boxd.it/3GA6
2021-05-30,Nightcrawler,2014,https://boxd.it/780m
2021-05-31,Shutter Island,2010,https://boxd.it/1U82
2021-05-31,The Truman Show,1998,https://boxd.it/18U8
2021-06-01,20th Century Women,2016,https://boxd.it/bqU6
2021-06-02,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2021-06-06,The Sound of Music,1965,https://boxd.it/1MLK
2021-06-07,Se7en,1995,https://boxd.it/29zs
2021-06-08,Inglourious Basterds,2009,https://boxd.it/1JzG
2021-06-13,Django Unchained,2012,https://boxd.it/2cCk
2021-06-16,Uncut Gems,2019,https://boxd.it/gXGc
2021-06-16,Annihilation,2018,https://boxd.it/9yzm
2021-06-18,Cruella,2021,https://boxd.it/bbKg
2021-06-19,Begin Again,2013,https://boxd.it/5Ybs
2021-06-21,Roma,2018,https://boxd.it/f69M
2021-06-22,Ingrid Goes West,2017,https://boxd.it/evUQ
2021-06-23,I'm Still Here,2010,https://boxd.it/TcK
2021-06-24,"Don't Worry, He Won't Get Far on Foot",2018,https://boxd.it/fLeo
2021-06-25,C.I.D. Moosa,2003,https://boxd.it/aNXU
2021-06-25,Meesa Madhavan,2002,https://boxd.it/a48M
2021-06-26,Charlie,2015,https://boxd.it/cV5q
2021-06-26,Manichitrathazhu,1993,https://boxd.it/2Yeg
2021-06-26,Thondimuthalum Driksakshiyum,2017,https://boxd.it/grc0
2021-06-26,Drishyam,2013,https://boxd.it/7avm
2021-06-26,Maheshinte Prathikaaram,2016,https://boxd.it/dhEM
2021-06-26,Premam,2015,https://boxd.it/bod0
2021-06-26,OK Kanmani,2015,https://boxd.it/aM7I
2021-06-26,Neram,2013,https://boxd.it/5L6E
2021-06-26,Ohm Shanthi Oshaana,2014,https://boxd.it/7AF8
2021-06-26,Vaayai Moodi Pesavum,2014,https://boxd.it/7QcG
2021-06-26,Mank,2020,https://boxd.it/mIuC
2021-06-27,mother!,2017,https://boxd.it/dgRU
2021-06-30,Frances Ha,2012,https://boxd.it/41Xg
2021-07-04,American Psycho,2000,https://boxd.it/28Vs
2021-07-04,Gandhi,1982,https://boxd.it/29Dk
2021-07-05,The Witch,2015,https://boxd.it/9X0m
2021-07-07,Lady Bird,2017,https://boxd.it/dGNE
2021-07-08,Marvel One-Shot: Agent Carter,2013,https://boxd.it/6jeC
2021-07-08,Monty Python and the Holy Grail,1975,https://boxd.it/29GI
2021-07-10,Black Widow,2021,https://boxd.it/hWV8
2021-07-11,Under the Skin,2013,https://boxd.it/3mDa
2021-07-13,Midsommar,2019,https://boxd.it/jhxe
2021-07-15,Loki,2021,https://boxd.it/sbHg
2021-07-18,The Lego Batman Movie,2017,https://boxd.it/azp0
2021-07-20,Lion,2016,https://boxd.it/b2La
2021-08-25,Happiest Season,2020,https://boxd.it/iS3I
2021-09-02,Speak,2004,https://boxd.it/1MTO
2021-09-18,Fight Club,1999,https://boxd.it/2a9q
2021-09-19,Ocean's Eight,2018,https://boxd.it/eaai
2021-09-19,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2021-09-20,Sudani from Nigeria,2018,https://boxd.it/idV0
2021-09-20,Guppy,2016,https://boxd.it/eu2y
2021-09-20,1983,2014,https://boxd.it/7rnE
2021-09-20,Ennu Ninte Moideen,2015,https://boxd.it/cghg
2021-09-20,Kunjiramayanam,2015,https://boxd.it/c3Qi
2021-09-20,Vikruthi,2019,https://boxd.it/nEuq
2021-09-20,Action Hero Biju,2016,https://boxd.it/dgWA
2021-09-20,Jacob's Kingdom of Heaven,2016,https://boxd.it/dxM8
2021-09-20,Thattathin Marayathu,2012,https://boxd.it/3YPo
2021-09-20,How Old Are You,2014,https://boxd.it/88f4
2021-09-20,Aanandam,2016,https://boxd.it/eWB2
2021-09-20,Vikramadithyan,2014,https://boxd.it/8R2O
2021-09-20,Oppam,2016,https://boxd.it/eegu
2021-09-20,Aravindante Athidhikal,2018,https://boxd.it/iW6Q
2021-09-20,C/O Saira Banu,2017,https://boxd.it/fYym
2021-09-21,What We Do in the Shadows,2014,https://boxd.it/7eQy
2021-09-21,Certain Women,2016,https://boxd.it/bk7W
2021-09-22,You Were Never Really Here,2017,https://boxd.it/dWOS
2021-09-22,The Suicide Squad,2021,https://boxd.it/fw6O
2021-09-23,Clouds of Sils Maria,2014,https://boxd.it/7f62
2021-09-24,The Lighthouse,2019,https://boxd.it/icFU
2021-09-26,A Ghost Story,2017,https://boxd.it/fb0K
2021-09-26,Personal Shopper,2016,https://boxd.it/bkGM
2021-09-27,Memento,2000,https://boxd.it/2bcK
2021-09-28,Whiplash,2014,https://boxd.it/7bQA
2021-09-28,Still Alice,2014,https://boxd.it/8Nhq
2021-10-05,Panic Room,2002,https://boxd.it/2490
2021-10-11,But I'm a Cheerleader,1999,https://boxd.it/1CW4
2021-10-11,Firebringer,2016,https://boxd.it/fgsu
2021-10-11,The Guy Who Didn't Like Musicals,2018,https://boxd.it/owFW
2021-10-11,Holy Musical B@man!,2012,https://boxd.it/3ySm
2021-10-11,Spies Are Forever,2016,https://boxd.it/fcum
2021-10-11,Starship,2011,https://boxd.it/6Og
2021-10-11,Twisted: The Untold Story of a Royal Vizier,2013,https://boxd.it/73Gi
2021-10-15,Adventureland,2009,https://boxd.it/1JTQ
2021-11-01,Black Swan,2010,https://boxd.it/Sw0
2021-11-08,Harry Styles: Behind the Album,2017,https://boxd.it/gjfg
2021-11-08,Earthlings,2005,https://boxd.it/1lJM
2021-11-11,Like Stars on Earth,2007,https://boxd.it/20SA
2021-11-12,American Ultra,2015,https://boxd.it/7KXc
2021-11-21,Shiva Baby,2020,https://boxd.it/oIv0
